Algorithm,Parameters,Dataset,Fold,Description,Precision,Recall,F-measure,AUC,G-mean
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,4,Preliminary,0.671642,0.671642,0.671642,0.747821,0.743931
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.01}",pima,1,Preliminary,0.565789,0.641791,0.601399,0.688896,0.687283
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.1}",pima,4,Preliminary,0.527607,0.641791,0.579125,0.666896,0.666423
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 1.0}",pima,1,Preliminary,0.646617,0.641791,0.644195,0.726896,0.721896
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.001}",pima,3,Preliminary,0.616438,0.671642,0.642857,0.723821,0.721938
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.001}",pima,4,Preliminary,0.575949,0.679104,0.623288,0.705552,0.705056
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.01}",pima,4,Preliminary,0.515152,0.634328,0.568562,0.657164,0.656767
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.01}",pima,1,Preliminary,0.584337,0.723881,0.646667,0.72394,0.72394
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.1}",pima,1,Preliminary,0.636986,0.69403,0.664286,0.741015,0.739524
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.01}",pima,4,Preliminary,0.618421,0.701493,0.657343,0.734746,0.733993
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 1.0}",pima,2,Preliminary,0.633663,0.477612,0.544681,0.664806,0.637907
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.01}",pima,1,Preliminary,0.5,0.61194,0.550336,0.64197,0.641267
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 10.0}",pima,1,Preliminary,0.654135,0.649254,0.651685,0.732627,0.727867
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.1}",pima,2,Preliminary,0.561728,0.679104,0.614865,0.697552,0.697308
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,2,Preliminary,0.65,0.485075,0.555556,0.672537,0.645882
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.001}",pima,4,Preliminary,0.567376,0.597015,0.581818,0.676507,0.671821
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,2,Preliminary,0.62963,0.634328,0.63197,0.717164,0.712364
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.1}",pima,2,Preliminary,0.590551,0.559701,0.574713,0.675851,0.665795
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.001}",pima,1,Preliminary,0.590909,0.58209,0.586466,0.683045,0.675543
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.001}",pima,1,Preliminary,0.540373,0.649254,0.589831,0.676627,0.676073
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 1.0}",pima,2,Preliminary,0.602837,0.634328,0.618182,0.705164,0.701597
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 10.0}",pima,4,Preliminary,0.534161,0.641791,0.583051,0.670896,0.670264
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 10.0}",pima,1,Preliminary,0.638655,0.567164,0.600791,0.697582,0.685282
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 1.0}",pima,4,Preliminary,0.62987,0.723881,0.673611,0.74794,0.747553
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.1}",pima,1,Preliminary,0.56129,0.649254,0.602076,0.688627,0.6875
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 1.0}",pima,1,Preliminary,0.637097,0.589552,0.612403,0.704776,0.695293
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.001}",pima,1,Preliminary,0.62585,0.686567,0.654804,0.733284,0.731794
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 1.0}",pima,2,Preliminary,0.623077,0.604478,0.613636,0.704239,0.697137
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.001}",pima,1,Preliminary,0.622517,0.701493,0.659649,0.736746,0.735902
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 10.0}",pima,2,Preliminary,0.649573,0.567164,0.605578,0.701582,0.688585
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,4,Preliminary,0.61039,0.701493,0.652778,0.730746,0.73016
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.001}",pima,2,Preliminary,0.569231,0.552239,0.560606,0.664119,0.654628
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.001}",pima,2,Preliminary,0.621429,0.649254,0.635036,0.718627,0.715271
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 10.0}",pima,4,Preliminary,0.627451,0.716418,0.66899,0.744209,0.74369
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.1}",pima,2,Preliminary,0.627737,0.641791,0.634686,0.718896,0.714749
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.001}",pima,2,Preliminary,0.569536,0.641791,0.603509,0.690896,0.689148
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.01}",pima,4,Preliminary,0.606061,0.746269,0.668896,0.743134,0.743128
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 0.01}",pima,1,Preliminary,0.642857,0.671642,0.656934,0.735821,0.733017
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'NB', 'gamma': 10.0}",pima,2,Preliminary,0.682692,0.529851,0.596639,0.698925,0.678167
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 1000, 'stop_probability': 0.0, 'classifier': 'SVM', 'gamma': 0.001}",pima,4,Preliminary,0.610063,0.723881,0.662116,0.73794,0.737806
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'KNN', 'gamma': 0.01}",pima,2,Preliminary,0.589928,0.61194,0.600733,0.69197,0.687327
RBO,"{'step_size': 0.001, 'criterion': 'balance', 'n_steps': 2000, 'stop_probability': 0.0, 'classifier': 'CART', 'gamma': 0.01}",pima,2,Preliminary,0.556338,0.589552,0.572464,0.668776,0.664067
